Title,URL,Date Created,Summary
"21일, 기관 거래소에서 삼성전자(+0.45%), SK하이닉스(+0.44%) 등 순매수 - 한국경제",https://www.hankyung.com/finance/article/202204213759L,"Thu, 21 Apr 2022 09:35:25 GMT","21일, 기관 거래소에서 삼성전자(+0.45%), SK하이닉스(+0.44%) 등 순매수  한국경제"
"삼성전자 포함 삼성 18개 계열사, 신입 공채시험 5월 14~15일 진행 - 비즈니스포스트",https://www.businesspost.co.kr/BP?command=article_view&num=278506,"Thu, 21 Apr 2022 04:38:59 GMT","삼성전자 포함 삼성 18개 계열사, 신입 공채시험 5월 14~15일 진행  비즈니스포스트"
삼성전자 1분기 세계 스마트폰 1위 수성…애플에 6%p 앞서 - 노컷뉴스,https://www.nocutnews.co.kr/news/5744334,"Thu, 21 Apr 2022 05:58:00 GMT",삼성전자 1분기 세계 스마트폰 1위 수성…애플에 6%p 앞서  노컷뉴스
"[마켓파워] 삼성전자 올해 반도체 설비투자 50조원 육박, 국방예산만큼 쓴다 - 아시아투데이",https://www.asiatoday.co.kr/view.php?key=20220420010012198,"Thu, 21 Apr 2022 02:00:00 GMT","[마켓파워] 삼성전자 올해 반도체 설비투자 50조원 육박, 국방예산만큼 쓴다  아시아투데이"
"삼성전자 SK하이닉스 하반기 실적 먹구름, D램 가격 하락 전망 나와 - 비즈니스포스트",http://www.businesspost.co.kr/BP?command=article_view&num=278532,"Thu, 21 Apr 2022 06:26:03 GMT","삼성전자 SK하이닉스 하반기 실적 먹구름, D램 가격 하락 전망 나와  비즈니스포스트"
"한화진 환경부 장관 후보자, 삼성전자 사외이사 사임 - ZD넷 코리아",https://zdnet.co.kr/view/?no=20220421172813,"Thu, 21 Apr 2022 08:28:30 GMT","한화진 환경부 장관 후보자, 삼성전자 사외이사 사임  ZD넷 코리아"
출렁대는 삼성전자 주가…ELS 투자자 '희비교차' - 비즈니스워치,http://news.bizwatch.co.kr/article/market/2022/04/19/0014,"Tue, 19 Apr 2022 21:45:02 GMT",출렁대는 삼성전자 주가…ELS 투자자 '희비교차'  비즈니스워치
"삼성전자, 협력사 임직원 건강·안전 지원 - 신아일보",http://www.shinailbo.co.kr/news/articleView.html?idxno=1542348,"Thu, 21 Apr 2022 04:28:47 GMT","삼성전자, 협력사 임직원 건강·안전 지원  신아일보"
실적 발표 D-7…삼성전자 주가는? - ZD넷 코리아,https://zdnet.co.kr/view/?no=20220421160708,"Thu, 21 Apr 2022 07:09:33 GMT",실적 발표 D-7…삼성전자 주가는?  ZD넷 코리아
"코스피, 기관 매수에 2720선 회복…삼성전자 SK하이닉스 상승 - 매일경제",https://www.mk.co.kr/news/stock/view/2022/04/357164/,"Thu, 21 Apr 2022 07:05:24 GMT","코스피, 기관 매수에 2720선 회복…삼성전자 SK하이닉스 상승  매일경제"
